id,nombre,nombre_cientifico,grupo,etiqueta,rasgo,archivo,prompt_ia_editor
11,Mapache,Procyon lotor,Mamífero,Vecino de ríos y traspatios,Ingenioso. Abres cualquier cosa.,11_mapache.png,"Transform the person into a raccoon, black eye mask, grey fur, ringed tail, night riverbank background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
12,Tlacuache,Didelphis marsupialis,Mamífero,El marsupial de todos los barrios,Sobreviviente. Te haces el muerto y sigues.,12_tlacuache.png,"Transform the person into a opossum, grey fur, pointed pink nose, round dark eyes, small ears, urban backyard at night. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
13,Armadillo,Dasypus novemcinctus,Mamífero,Blindado de la Depresión Central,Cauteloso. Traes armadura hasta para el chisme.,13_armadillo.png,"Transform the person into a nine-banded armadillo, bony armored shell, pointed snout, dry tropical forest. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
14,Venado cola blanca,Odocoileus virginianus,Mamífero,Símbolo del monte chiapaneco,"Noble, alerta, corres al primer ruido.",14_venado_cola_blanca.png,"Transform the person into a white-tailed deer, brown coat, large dark eyes, tall ears, misty forest meadow. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
15,Temazate (venado cabrito),Mazama temama,Mamífero,El venadito rojo de la selva,"Tímido y pequeño, pero nadie te alcanza.",15_temazate.png,"Transform the person into a red brocket deer, reddish brown coat, small spike antlers, dense green jungle. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
16,Jabalí de collar (pecarí),Dicotyles tajacu,Mamífero,Andan en manada por la Sierra Madre,Fuerte y de familia grande.,16_jabali_de_collar.png,"Transform the person into a collared peccary, dark bristly fur, pale collar band, small tusks, tropical dry forest. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
17,Oso hormiguero (brazo fuerte),Tamandua mexicana,Mamífero,El tamandua de la selva,Paciente. Comes despacio y ganas.,17_oso_hormiguero.png,"Transform the person into a tamandua anteater, tan fur with black vest pattern, long snout, prehensile tail, jungle tree. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
18,Nutria de río (perro de agua),Lontra longicaudis,Mamífero,Habita ríos como el Grijalva y el Lacantún,Juguetón. El agua es tu casa.,18_nutria_de_rio.png,"Transform the person into a neotropical river otter, sleek brown wet fur, whiskers, playful expression, clear river. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
19,Manatí,Trichechus manatus,Mamífero,Sobrevive en las lagunas de Catazajá,"Sereno, gigante y buena gente.",19_manati.png,"Transform the person into a manatee, grey rounded body, whiskered snout, calm eyes, freshwater lagoon with lilies. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
20,Puercoespín tropical,Coendou mexicanus,Mamífero,El erizo de cola prensil de la selva,Espinoso solo si te provocan.,20_puercoespin_tropical.png,"Transform the person into a Mexican hairy dwarf porcupine, dark spiny fur, pale nose, prehensile tail, jungle branch at night. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
21,Cabeza de viejo (tayra),Eira barbara,Mamífero,El viejo de monte,"Rudo, rápido y sin miedo.",21_cabeza_de_viejo.png,"Transform the person into a tayra, dark brown fur with pale head, long body, sharp eyes, rainforest floor. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
22,Zorrillo,Conepatus leuconotus,Mamífero,Presente en todo el estado,Pacífico... hasta que no.,22_zorrillo.png,"Transform the person into a hog-nosed skunk, black fur with white back stripe, bushy tail, dry brush at dusk. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
23,Delfín nariz de botella,Tursiops truncatus,Mamífero,Costa de Chiapas: Puerto Arista y Boca del Cielo,"Sociable, listo y siempre sonriendo.",23_delfin_nariz_de_botella.png,"Transform the person into a bottlenose dolphin, grey smooth skin, friendly smile, Pacific ocean waves at sunset. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
24,Guaqueque (cotuza),Dasyprocta punctata,Mamífero,El sembrador de la selva,"Nervioso, rápido, guardas cosas para después.",24_guaqueque.png,"Transform the person into a agouti rodent, reddish brown fur, slender legs, alert posture, jungle floor. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
25,Quetzal,Pharomachrus mocinno,Ave,Joya de la Reserva El Triunfo,Único. Te ven una vez y no te olvidan.,25_quetzal.png,"Transform the person into a resplendent quetzal, iridescent emerald green plumage, crimson red chest, long tail feathers, cloud forest mist. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
26,Pavón,Oreophasis derbianus,Ave,Endémico de Chiapas y Guatemala,Raro de verdad. Solo existes aquí.,26_pavon.png,"Transform the person into a horned guan bird, black plumage with white chest, bright red horn on head, red legs, cloud forest. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
27,Guacamaya roja,Ara macao,Ave,Vuelve a volar en la Lacandona,"Ruidoso, colorido, imposible de ignorar.",27_guacamaya_roja.png,"Transform the person into a scarlet macaw, red yellow and blue feathers, white face patch, strong curved beak, rainforest canopy. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
28,Tucán real (pico canoa),Ramphastos sulfuratus,Ave,Ícono de la selva chiapaneca,Llamas la atención sin proponértelo.,28_tucan_real.png,"Transform the person into a keel-billed toucan, black body, yellow chest, huge rainbow colored beak, tropical jungle. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
29,Tucancillo collarejo,Pteroglossus torquatus,Ave,El primo pequeño del tucán,"Chico, vivo y de buen apetito.",29_tucancillo_collarejo.png,"Transform the person into a collared aracari, black head, yellow belly with red band, long bicolor beak, jungle branch. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
30,Zopilote rey,Sarcoramphus papa,Ave,El rey de los cielos de la selva,Imponente. Nadie te discute el lugar.,30_zopilote_rey.png,"Transform the person into a king vulture, white body, black wings, bare multicolored orange head, blue sky over jungle. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
31,Águila elegante,Spizaetus ornatus,Ave,Rapaz de las selvas de Chiapas,Precisión pura. No fallas.,31_aguila_elegante.png,"Transform the person into a ornate hawk-eagle, black crest, chestnut neck, barred white chest, piercing eyes, forest sky. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
32,Chachalaca,Ortalis vetula,Ave,Despertador oficial del monte,"Hablas mucho, y temprano.",32_chachalaca.png,"Transform the person into a plain chachalaca bird, brownish olive plumage, long tail, small head, tropical scrub at dawn. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
33,Colibrí,Amazilia spp.,Ave,Decenas de especies en Chiapas,"Intenso, veloz y dulce.",33_colibri.png,"Transform the person into a hummingbird, iridescent green feathers, tiny body, long beak, tropical flowers. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
34,Loro frente blanca,Amazona albifrons,Ave,Común en toda la Frailesca y la costa,Sociable. Repites lo que oyes.,34_loro_frente_blanca.png,"Transform the person into a white-fronted amazon parrot, green feathers, white forehead, red eye patch, blue crown, jungle. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
35,Búho cornudo,Bubo virginianus,Ave,Cazador nocturno de sierras y valles,"Sabio, serio y nocturno.",35_buho_cornudo.png,"Transform the person into a great horned owl, ear tufts, big yellow eyes, mottled brown feathers, moonlit night. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
36,Pelícano pardo,Pelecanus occidentalis,Ave,Vuela en fila por Puerto Arista,Paciente. Esperas y luego caes con todo.,36_pelicano_pardo.png,"Transform the person into a brown pelican, large pouch beak, grey brown feathers, Pacific beach at sunset. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
37,Espátula rosada,Platalea ajaja,Ave,Rosa de La Encrucijada,"Raro, rosa y elegante.",37_espatula_rosada.png,"Transform the person into a roseate spoonbill, bright pink plumage, flat spoon shaped beak, mangrove lagoon. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
38,Momoto (pájaro reloj),Momotus lessonii,Ave,Mueve la cola como péndulo,"Tranquilo, con tu propio ritmo.",38_momoto.png,"Transform the person into a lesson's motmot bird, turquoise and green plumage, black mask, racket tail, shaded jungle. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
39,Carpintero,Melanerpes aurifrons,Ave,Se oye en cada parque de Tuxtla,Insistente. Tocas hasta que abren.,39_carpintero.png,"Transform the person into a golden-fronted woodpecker, black and white barred back, red crown, tree trunk. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
40,Zanate,Quiscalus mexicanus,Ave,Dueño del centro de Tuxtla,"Urbano, escandaloso y sobreviviente.",40_zanate.png,"Transform the person into a great-tailed grackle, glossy black iridescent feathers, long tail, yellow eyes, city plaza background. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
41,Cocodrilo americano,Crocodylus acutus,Reptil,Manglares de La Encrucijada y Cañón del Sumidero,Paciente y viejo. Sabes esperar.,41_cocodrilo_americano.png,"Transform the person into a American crocodile, scaly olive green skin, long jaws, sharp teeth, mangrove river. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
42,Iguana verde,Iguana iguana,Reptil,Asoleándose en cada ceiba,Relajado. El sol es tu agenda.,42_iguana_verde.png,"Transform the person into a green iguana, green scaly skin, spiky crest, dewlap, sunny tropical tree. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
43,Garrobo (iguana negra),Ctenosaura similis,Reptil,Corre en las playas de la costa,Rápido y territorial.,43_garrobo.png,"Transform the person into a black spiny-tailed iguana, grey black scales, spiky tail, rocky coast in the sun. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
44,Tortuga golfina,Lepidochelys olivacea,Reptil,Anida en Puerto Arista,"Constante. Vas lento, pero llegas siempre.",44_tortuga_golfina.png,"Transform the person into a olive ridley sea turtle, olive shell, gentle eyes, sandy Pacific beach at night. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
45,Nauyaca,Bothrops asper,Reptil,La serpiente más temida de Chiapas,Mejor no te hagan enojar.,45_nauyaca.png,"Transform the person into a fer-de-lance viper, brown diamond patterned scales, triangular head, jungle leaf litter. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
46,Basilisco (pasarríos),Basiliscus vittatus,Reptil,Corre sobre el agua,Ligero. Corres sobre cualquier problema.,46_basilisco.png,"Transform the person into a brown basilisk lizard, crest on head, long toes, running on river water. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
47,Rana de ojos rojos,Agalychnis callidryas,Anfibio,Estrella de la Selva Lacandona,"Chiquito, brillante y sorprendes a todos.",47_rana_de_ojos_rojos.png,"Transform the person into a red-eyed tree frog, bright green skin, huge red eyes, orange feet, jungle leaf at night. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
48,Pejelagarto,Atractosteus tropicus,Pez,Pez prehistórico de ríos y lagunas,Antiguo. Ya lo viste todo.,48_pejelagarto.png,"Transform the person into a tropical gar fish, elongated body, long snout with teeth, armored scales, murky river. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
49,Mariposa morfo azul,Morpho helenor,Insecto,Azul eléctrico en la selva,Deslumbras y desapareces.,49_mariposa_morfo_azul.png,"Transform the person into a blue morpho butterfly, iridescent electric blue wings, black edges, sunlit jungle clearing. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
50,Abeja melipona,Melipona beecheii,Insecto,La abeja sin aguijón de la tradición maya,"Trabajador, dulce y sin aguijón.",50_abeja_melipona.png,"Transform the person into a stingless melipona bee, golden fuzzy body, tropical flowers and hollow log hive. Keep the person's face position, expression and pose recognizable, photorealistic, cinematic lighting, Chiapas, Mexico."
